,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
72,73,GO-20141432068,1/29/2014 5:00:00 AM,1/29/2014 5:00:00 AM,2014,January,29,29,Wednesday ,15,2014.0,January,29.0,29.0,Wednesday ,15,D13,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,096,Casa Loma (96),096,Casa Loma (96),-79.4138537377884,43.6745350209313,-8840309.76004566,5415213.09952799
73,74,GO-20141430862,1/29/2014 5:00:00 AM,10/14/2013 5:00:00 AM,2014,January,29,29,Wednesday ,14,2013.0,October,14.0,287.0,Monday    ,23,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,094,Wychwood (94),094,Wychwood (94),-79.4286773281432,43.6772766189603,-8841959.91453619,5415635.06991253
74,75,GO-20141431172,1/29/2014 5:00:00 AM,1/29/2014 5:00:00 AM,2014,January,29,29,Wednesday ,13,2014.0,January,29.0,29.0,Wednesday ,9,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,095,Annex (95),095,Annex (95),-79.3905872468585,43.6694730093903,-8837719.746115,5414434.03553812
75,76,GO-20141431375,1/29/2014 5:00:00 AM,12/28/2013 5:00:00 AM,2014,January,29,29,Wednesday ,13,2013.0,December,28.0,362.0,Saturday  ,12,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,161,Humber Bay Shores (161),017,Mimico (includes Humber Bay Shores) (17),-79.4886497232725,43.6149729394501,-8848636.01100924,5406050.41388143
76,77,GO-20141436885,1/30/2014 5:00:00 AM,1/30/2014 5:00:00 AM,2014,January,30,30,Thursday  ,12,2014.0,January,30.0,30.0,Thursday  ,12,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3917703370827,43.6447300838337,-8837851.44709136,5410626.94507884
77,78,GO-20141444562,1/31/2014 5:00:00 AM,1/31/2014 5:00:00 AM,2014,January,31,31,Friday    ,15,2014.0,January,31.0,31.0,Friday    ,13,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,087,High Park-Swansea (87),087,High Park-Swansea (87),-79.4751523207794,43.651389251231,-8847133.48709157,5411651.4090008
78,79,GO-20141442432,1/31/2014 5:00:00 AM,1/30/2014 5:00:00 AM,2014,January,31,31,Friday    ,10,2014.0,January,30.0,30.0,Thursday  ,17,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3759438465914,43.6495816886853,-8836089.65028351,5411373.31763538
79,80,GO-2014141431694,2/1/2014 5:00:00 AM,1/31/2014 5:00:00 AM,2014,February,1,32,Saturday  ,0,2014.0,January,31.0,31.0,Friday    ,18,D11,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,087,High Park-Swansea (87),087,High Park-Swansea (87),-79.4513008163532,43.6393367919858,-8844478.34970032,5409797.30995713
80,81,GO-20141448551,2/1/2014 5:00:00 AM,1/1/2014 5:00:00 AM,2014,February,1,32,Saturday  ,9,2014.0,January,1.0,1.0,Wednesday ,0,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,035,Westminster-Branson (35),035,Westminster-Branson (35),-79.4487239353657,43.7855004148449,-8844191.49261956,5432307.66034266
81,82,GO-20141523716,2/2/2014 5:00:00 AM,1/11/2014 5:00:00 AM,2014,February,2,33,Sunday    ,17,2014.0,January,11.0,11.0,Saturday  ,11,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,047,Don Valley Village (47),047,Don Valley Village (47),-79.343746456519,43.7758819156433,-8832505.45322384,5430824.64629674
82,83,GO-20141454869,2/2/2014 5:00:00 AM,9/10/2013 5:00:00 AM,2014,February,2,33,Sunday    ,11,2013.0,September,10.0,253.0,Tuesday   ,12,D51,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,2130,210,Theft Over,Theft Over,072,Regent Park (72),072,Regent Park (72),-79.3647731586812,43.660450299554,-8834846.13498354,5413045.56727625
83,84,GO-20141456726,2/2/2014 5:00:00 AM,1/10/2014 5:00:00 AM,2014,February,2,33,Sunday    ,17,2014.0,January,10.0,10.0,Friday    ,11,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.2872671837969,43.7269355648014,-8826218.20931311,5423281.61829997
84,85,GO-20141455610,2/2/2014 5:00:00 AM,1/29/2014 5:00:00 AM,2014,February,2,33,Sunday    ,13,2014.0,January,29.0,29.0,Wednesday ,21,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,073,Moss Park (73),073,Moss Park (73),-79.3692940566865,43.6639882030919,-8835349.39904683,5413589.97601443
85,86,GO-20141456831,2/2/2014 5:00:00 AM,2/2/2014 5:00:00 AM,2014,February,2,33,Sunday    ,17,2014.0,February,2.0,33.0,Sunday    ,0,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,143,West Rouge (143),131,Rouge (131),-79.1757121884244,43.8014054912254,-8813799.96396294,5434760.48460133
86,87,GO-20141641161,2/3/2014 5:00:00 AM,2/1/2014 5:00:00 AM,2014,February,3,34,Monday    ,13,2014.0,February,1.0,32.0,Saturday  ,13,D42,Convenience Stores,Commercial,2133,200,Theft Over - Shoplifting,Theft Over,145,Malvern West (145),132,Malvern (132),-79.2323656777838,43.8153019694176,-8820106.6016214,5436904.08457009
87,88,GO-20141467838,2/4/2014 5:00:00 AM,6/1/2013 5:00:00 AM,2014,February,4,35,Tuesday   ,12,2013.0,June,1.0,152.0,Saturday  ,8,D43,"Dealership (Car, Motorcycle, Marine, Trailer, Etc.)",Commercial,2130,220,Theft - Misapprop Funds Over,Theft Over,136,West Hill (136),136,West Hill (136),-79.1945679040575,43.7617127931187,-8815898.9726666,5428640.43547578
88,89,GO-20141470964,2/4/2014 5:00:00 AM,1/14/2014 5:00:00 AM,2014,February,4,35,Tuesday   ,19,2014.0,January,14.0,14.0,Tuesday   ,0,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.3014195729292,43.763863922148,-8827793.6460501,5428972.00485017
89,90,GO-20141468311,2/4/2014 5:00:00 AM,1/27/2014 5:00:00 AM,2014,February,4,35,Tuesday   ,13,2014.0,January,27.0,27.0,Monday    ,5,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,073,Moss Park (73),073,Moss Park (73),-79.3686206531868,43.6521425912462,-8835274.43605645,5411767.31197713
90,91,GO-20141475975,2/5/2014 5:00:00 AM,2/5/2014 5:00:00 AM,2014,February,5,36,Wednesday ,20,2014.0,February,5.0,36.0,Wednesday ,20,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),-79.28595020943,43.7924025865895,-8826071.60432672,5433372.00858721
91,92,GO-20141472601,2/5/2014 5:00:00 AM,1/15/2014 5:00:00 AM,2014,February,5,36,Wednesday ,9,2014.0,January,15.0,15.0,Wednesday ,12,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.5991708938443,43.7180962653955,-8860939.17148684,5421920.06802582
92,93,GO-20141482008,2/6/2014 5:00:00 AM,2/6/2014 5:00:00 AM,2014,February,6,37,Thursday  ,19,2014.0,February,6.0,37.0,Thursday  ,19,D42,Convenience Stores,Commercial,2130,210,Theft Over,Theft Over,130,Milliken (130),130,Milliken (130),-79.2479281779669,43.8239623986682,-8821839.01119687,5438240.25074389
93,94,GO-20141479482,2/6/2014 5:00:00 AM,2/3/2014 5:00:00 AM,2014,February,6,37,Thursday  ,12,2014.0,February,3.0,34.0,Monday    ,14,D54,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.3164150445593,43.7049312904431,-8829462.93435734,5419892.59022765
94,95,GO-20141482765,2/6/2014 5:00:00 AM,2/5/2014 5:00:00 AM,2014,February,6,37,Thursday  ,21,2014.0,February,5.0,36.0,Wednesday ,2,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3819115465038,43.658675197779,-8836753.97160872,5412772.42856059
95,96,GO-20141484867,2/7/2014 5:00:00 AM,6/30/2013 5:00:00 AM,2014,February,7,38,Friday    ,12,2013.0,June,30.0,181.0,Sunday    ,12,D31,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.5182623930322,43.7400503543317,-8851932.47835467,5425302.10830857
96,97,GO-20141487056,2/7/2014 5:00:00 AM,2/6/2014 5:00:00 AM,2014,February,7,38,Friday    ,15,2014.0,February,6.0,37.0,Thursday  ,8,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,200,Theft From Mail / Bag / Key,Theft Over,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3827612420464,43.6459715850752,-8836848.55922345,5410817.93227389
97,98,GO-20141487437,2/7/2014 5:00:00 AM,2/7/2014 5:00:00 AM,2014,February,7,38,Friday    ,16,2014.0,February,7.0,38.0,Friday    ,16,D53,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2133,200,Theft Over - Shoplifting,Theft Over,055,Thorncliffe Park (55),055,Thorncliffe Park (55),-79.3435904222445,43.7074162801405,-8832488.0834871,5420275.25811541
98,99,GO-20141486113,2/7/2014 5:00:00 AM,2/5/2014 5:00:00 AM,2014,February,7,38,Friday    ,15,2014.0,February,5.0,36.0,Wednesday ,0,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,027,York University Heights (27),027,York University Heights (27),-79.4750493389148,43.7572294642273,-8847122.02318777,5427949.42523266
99,100,GO-20141486298,2/7/2014 5:00:00 AM,2/6/2014 5:00:00 AM,2014,February,7,38,Friday    ,13,2014.0,February,6.0,37.0,Thursday  ,8,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3826234441251,43.6529628920665,-8836833.21962026,5411893.51870053
